geneId	readCount	Coverage	FPKM	TPM
KLLA0_D05731g	95	7.544601	119.142250	138.092300
KLLA0_B08019g	55	2.958599	46.721378	54.152599
KLLA0_C05148g	12	0.734615	11.600838	13.445996
KLLA0_C12815g	23	3.383041	53.424046	61.921356
KLLA0_F07997g	156	2.364583	37.340839	43.280052
KLLA0_F06050g	19	1.445454	22.826208	26.456810
KLLA0_B13717r	0	0.0	0.0	0.0
KLLA0_D02354g	394	15.875692	250.704544	290.580109
KLLA0_B13145g	287	14.488200	228.793640	265.184204
KLLA0_C15433g	22	0.679012	10.722770	12.428269
ENSRNAG049935363	1	0.229170	3.618989	4.194604
KLLA0_E10385g	32	1.072727	16.940207	19.634615
KLLA0_E13135g	13	0.341321	5.390047	6.247355
KLLA0_C01584g	1	0.049197	0.776905	0.900475
KLLA0_E11133g	5	0.175705	2.774685	3.216009
KLLA0_D18865g	91	4.600601	72.651421	84.206917
KLLA0_E09263g	2179	230.008286	3632.227295	4209.947754
KLLA0_E11551g	61	2.825485	44.619278	51.716152
KLLA0_D03080r	0	0.0	0.0	0.0
KLLA0_B11143g	73	2.143357	33.847301	39.230850
KLLA0_E10605g	7	0.409253	6.462810	7.490746
KLLA0_F23309g	0	0.0	0.0	0.0
KLLA0_E21473g	412	12.015464	189.744873	219.924561
KLLA0_D07408r	1729	220.324997	3479.311523	4032.709717
KLLA0_C17963g	62	3.409091	53.835423	62.398163
KLLA0_A05071g	30	1.080830	17.068167	19.782928
KLLA0_F08998g	93	5.096634	80.484627	93.286034
KLLA0_E10077g	29	1.405113	22.189156	25.718430
KLLA0_C04532g	65	3.946237	62.317886	72.229790
KLLA0_E07459g	84	6.927185	109.392189	126.791451
KLLA0_E23475g	15	0.893773	14.114216	16.359138
KLLA0_B07205g	214	7.948831	125.525742	145.491104
KLLA0_E20681g	1	0.045333	0.715886	0.829751
KLLA0_F17655g	1100	31.630005	499.492279	578.938538
KLLA0_A01364g	2	0.060423	0.954183	1.105950
KLLA0_F15708g	97	0.863931	13.642960	15.812926
KLLA0_C13079g	183	23.114428	365.016663	423.074005
KLLA0_D05269g	116	4.371111	69.027374	80.006454
KLLA0_F10791g	22	0.678877	10.720637	12.425798
KLLA0_E11925g	28	0.375704	5.933013	6.876683
KLLA0_D18821g	43	4.735931	74.788506	86.683922
KLLA0_D03630g	86	4.625133	73.038818	84.655937
KLLA0_B02937g	113	16.579710	261.822174	303.466064
KLLA0_F09999g	195	5.144116	81.234451	94.155121
KLLA0_D20031g	1	0.022159	0.349929	0.405586
KLLA0_C17666g	303	6.511589	102.829208	119.184608
KLLA0_F27027g	145	13.681564	216.055481	250.419968
KLLA0_B07557g	3	0.124880	1.972070	2.285736
KLLA0_B02266g	2	0.133700	2.111353	2.447173
KLLA0_E02047g	159	3.674419	58.025406	67.254585
KLLA0_B04422g	122	5.842750	92.267090	106.942543
KLLA0_A06666g	26	0.767677	12.122943	14.051146
KLLA0_E08625g	168	16.090395	254.095062	294.509888
KLLA0_B04972g	160	7.153914	112.972626	130.941376
KLLA0_B06798g	449	11.494478	181.517609	210.388718
KLLA0_D19933g	9	0.534077	8.433996	9.775457
KLLA0_E14741g	10	0.404386	6.385952	7.401663
KLLA0_F16709g	127	4.057644	64.077187	74.268929
KLLA0_F27863g	29	1.979508	31.259844	36.231846
KLLA0_F17435g	33	0.430818	6.803358	7.885460
KLLA0_C10439g	3	0.181818	2.871219	3.327899
KLLA0_E17469g	9	0.801105	12.650828	14.662993
KLLA0_D05082g	10	1.055914	16.674702	19.326880
KLLA0_E10033g	164	9.177704	144.931747	167.983734
KLLA0_F07183g	34	0.831876	13.136755	15.226209
KLLA0_C07953g	174	8.481268	133.933838	155.236557
KLLA0_C02805g	0	0.0	0.0	0.0
KLLA0_F00638g	8	0.313316	4.947800	5.734767
KLLA0_B11858g	93	1.991540	31.449848	36.452072
KLLA0_E20813g	177	16.278986	257.073242	297.961761
KLLA0_D14135g	152	10.243386	161.760727	187.489410
KLLA0_E11177g	91	3.098516	48.930904	56.713562
ENSRNAG049935461	0	0.000000	0.000000	0.000000
KLLA0_A07293g	56	1.618721	25.562393	29.628195
KLLA0_D12364g	41	1.101266	17.390888	20.156979
KLLA0_F22242g	722	56.022831	884.697021	1025.411621
KLLA0_C15477g	5	0.212851	3.361284	3.895910
KLLA0_A08822g	16	0.463122	7.313495	8.476735
KLLA0_F02816g	774	13.821078	218.258652	252.973557
KLLA0_C15653g	100	1.666667	26.319544	30.505774
KLLA0_F16060g	38	1.673648	26.429785	30.633549
KLLA0_C09482g	100	3.843227	60.691174	70.344353
KLLA0_B11902g	142	4.848118	76.560135	88.737335
KLLA0_D17138g	100	1.830073	28.900005	33.496670
KLLA0_D07579g	26	4.353742	68.753090	79.688545
KLLA0_B05764r	3	1.500000	23.687584	27.455191
KLLA0_E09637g	13	0.363481	5.739991	6.652960
KLLA0_F24178g	3	0.100137	1.581336	1.832854
KLLA0_E11661g	836	171.096390	2701.906738	3131.655762
KLLA0_F02123g	329	8.214531	129.721603	150.354340
KLLA0_B01760g	23	0.617792	9.756001	11.307732
KLLA0_B11968g	6	0.386724	6.107038	7.078387
KLLA0_F09757g	20	1.300395	20.535479	23.801727
KLLA0_F23672g	10	1.317204	20.800920	24.109390
KLLA0_C05764g	1858	26.892958	424.686127	492.234192
KLLA0_E04863g	85	4.174927	65.929298	76.415611
KLLA0_D10197g	61	1.208090	19.077822	22.112226
KLLA0_D08910g	2	0.141707	2.237798	2.593728
KLLA0_E16941g	554	51.442623	812.367676	941.578003
KLLA0_C08701g	217	12.083060	190.812347	221.161804
ENSRNAG049935465	0	0.000000	0.000000	0.000000
KLLA0_B02442g	70	2.417344	38.174026	44.245758
ENSRNAG049935450	0	0.0	0.0	0.0
KLLA0_E23893g	20	1.242312	19.618246	22.738607
KLLA0_E04027g	189	20.161425	318.383636	369.023834
