geneId	readCount	Coverage	FPKM	TPM
ENSRNAG049935445	1	0.302083	6.673288	7.886467
KLLA0_D16412g	40	1.255346	27.731735	32.773258
KLLA0_F21868g	425	41.961239	926.962036	1095.480103
KLLA0_A07931g	5	0.210628	4.652965	5.498855
KLLA0_C19184g	0	0.0	0.0	0.0
KLLA0_D09801g	7	0.128088	2.829581	3.343987
KLLA0_F01188g	68	1.344237	29.695419	35.093933
KLLA0_F16687r	0	0.0	0.0	0.0
KLLA0_D00836g	215	5.692667	125.756203	148.618195
KLLA0_E19427g	6	0.560521	12.382421	14.633495
KLLA0_E19977g	152	5.881549	129.928772	153.549316
KLLA0_F22583g	362	11.472898	253.446747	299.522400
KLLA0_F03619g	195	3.449185	76.195633	90.047707
KLLA0_E16699g	18	0.447633	9.888620	11.686334
KLLA0_A03641g	6	0.199275	4.402166	5.202463
KLLA0_E08097g	11	0.280061	6.186802	7.311539
KLLA0_F23716g	0	0.000000	0.000000	0.000000
KLLA0_F00770g	117	3.145204	69.480423	82.111694
KLLA0_F10978g	26	0.564502	12.470365	14.737427
KLLA0_E14411g	46	2.423198	53.530651	63.262314
KLLA0_A03938g	89	3.574030	78.953575	93.307030
KLLA0_E24025g	26	0.582992	12.878824	15.220144
KLLA0_E00155g	2	0.239261	5.285494	6.246376
KLLA0_E18173g	11	0.795094	17.564352	20.757481
ENSRNAG049935354	0	0.000000	0.000000	0.000000
KLLA0_F07271g	0	0.0	0.0	0.0
KLLA0_C09669g	15	1.470238	32.478897	38.383434
KLLA0_D11044g	94	2.952824	65.230576	77.089233
KLLA0_D02618g	22	0.275395	6.083727	7.189724
KLLA0_B12331g	16	0.194015	4.285968	5.065140
KLLA0_F17996g	64	1.582968	34.969204	41.326469
KLLA0_F23243g	27	0.272269	6.014671	7.108114
KLLA0_C09174g	142	8.199547	181.135468	214.065186
KLLA0_C02673g	48	10.777778	238.090942	281.374939
KLLA0_C07667g	56	2.417949	53.414696	63.125278
KLLA0_D01485g	429	6.327257	139.774872	165.185394
KLLA0_F15961g	29	8.485380	187.449783	221.527420
KLLA0_D14553g	1336	53.908947	1190.897827	1407.398315
KLLA0_C14872g	111	5.879833	129.890869	153.504517
KLLA0_F13288g	746	41.714912	921.520447	1089.049194
KLLA0_F16423g	191	7.045652	155.644867	183.940506
KLLA0_E09615g	474	16.467621	363.784760	429.919403
KLLA0_B12936g	176	4.256410	94.027977	111.121895
KLLA0_F17391g	831	29.595388	653.789124	772.645386
KLLA0_B14124g	48	1.857686	41.037979	48.498520
KLLA0_C13904g	78	3.786127	83.639000	98.844238
KLLA0_E10253g	1351	252.216110	5571.684082	6584.594238
KLLA0_A08404g	5	0.174603	3.857140	4.558352
KLLA0_F17281g	133	27.132530	599.382324	708.347656
KLLA0_F13398g	62	1.251896	27.655525	32.683189
KLLA0_C18194g	136	5.940017	131.220398	155.075745
KLLA0_F00924g	1	0.052569	1.161297	1.372416
KLLA0_F23804g	5	0.311193	6.874537	8.124301
KLLA0_E10121g	20	0.529630	11.700010	13.827025
KLLA0_E18349g	324	10.106618	223.264404	263.852997
KLLA0_D13420g	49	4.916168	108.602638	128.346161
KLLA0_D13970g	61	3.599765	79.522087	93.978897
KLLA0_D00660g	46	2.492988	55.072380	65.084320
KLLA0_E04401g	38	1.395788	30.834227	36.439770
KLLA0_F08459g	82	1.651551	36.484268	43.116962
KLLA0_E04995g	6	0.372155	8.221243	9.715833
KLLA0_F24640g	8	0.280423	6.194799	7.320990
KLLA0_D19811g	67	1.497578	33.082863	39.097198
KLLA0_E19295g	54	2.704253	59.739410	70.599808
KLLA0_F05093g	82	3.723861	82.263481	97.218666
KLLA0_E09087g	4	0.091747	2.026775	2.395235
KLLA0_A02475g	327	14.836007	327.740906	387.322937
KLLA0_C12837g	17	0.647059	14.294124	16.892738
KLLA0_D06402g	48	1.272679	28.114637	33.225769
KLLA0_E13553g	78	2.260470	49.935844	59.013985
KLLA0_D15939g	21	1.687400	37.276203	44.052872
KLLA0_F17160g	45	3.149378	69.572632	82.220665
KLLA0_E10165g	43	5.408521	119.479164	141.199997
KLLA0_D12298g	64	9.255747	204.467880	241.639343
KLLA0_A03179g	4	0.198623	4.387764	5.185441
KLLA0_D03949g	80	5.942478	131.274765	155.139984
KLLA0_F11462g	166	9.759259	215.590942	254.784515
KLLA0_C19547g	28	1.382568	30.542189	36.094639
KLLA0_B02915g	3	0.154244	3.407391	4.026841
KLLA0_E04049g	893	25.708475	567.923645	671.169983
KLLA0_E19933g	0	0.0	0.0	0.0
KLLA0_F21340g	128	3.941425	87.069672	102.898598
KLLA0_F02948g	230	6.937241	153.249985	181.110229
KLLA0_C01760g	12	0.623904	13.782608	16.288233
KLLA0_F25553r	2	0.537037	11.863637	14.020399
KLLA0_E13487g	2	0.144300	3.187719	3.767233
KLLA0_D06545r	0	0.0	0.0	0.0
KLLA0_E18217g	313	30.903101	682.677673	806.785767
KLLA0_F10219g	8	0.846154	18.692312	22.090502
KLLA0_F23914g	4	0.120504	2.662043	3.145992
KLLA0_D16346g	77	4.309051	95.190865	112.496193
KLLA0_F27995g	19	0.756691	16.715994	19.754896
KLLA0_B09482g	83	7.165812	158.299332	187.077515
KLLA0_F25344r	0	0.0	0.0	0.0
ENSRNAG049935492	7	0.616438	13.617677	16.093317
KLLA0_E06139g	47	1.943069	42.924164	50.727612
KLLA0_D13926g	9	0.409270	9.041147	10.684793
KLLA0_C09647g	13	0.735129	16.239670	19.191978
KLLA0_B14839g	9	0.324645	7.171704	8.475492
KLLA0_B12650g	485	64.291664	1420.261475	1678.459473
KLLA0_E09307g	6	0.962264	21.257288	25.121780
KLLA0_E02751g	11	0.793722	17.534042	20.721663
KLLA0_F03146g	7	0.211031	4.661867	5.509377
KLLA0_E15775g	39	1.212687	26.789360	31.659561
KLLA0_D13310g	0	0.0	0.0	0.0
KLLA0_E09505g	37	0.968553	21.396219	25.285967
KLLA0_F00308g	14	1.433121	31.658949	37.414421
KLLA0_F25476g	16	0.998703	22.062260	26.073092
KLLA0_F19756g	75	3.646494	80.554375	95.198845
KLLA0_E08471g	107	3.156760	69.735710	82.413383
KLLA0_F27401g	222	6.764213	149.427643	176.592987
KLLA0_A10241g	82	2.824882	62.404217	73.749062
ENSRNAG049935343	0	0.0	0.0	0.0
KLLA0_D09020g	27	0.852480	18.832060	22.255655
KLLA0_F05203g	22	1.089820	24.075117	28.451880
KLLA0_A01518g	241	14.321678	316.378937	373.895355
KLLA0_F19228g	62	3.405229	75.224617	88.900154
KLLA0_E25147g	7	0.338741	7.483097	8.843495
KLLA0_D03542g	15	0.275662	6.089625	7.196695
KLLA0_D02508g	1	0.087607	1.935318	2.287152
KLLA0_F04928g	10	0.447802	9.892355	11.690745
KLLA0_E03477g	13	0.736111	16.261362	19.217615
KLLA0_C13706g	107	3.283546	72.536522	85.723381
KLLA0_A05885g	0	0.0	0.0	0.0
KLLA0_B02805g	76	1.121239	24.769190	29.272133
KLLA0_B07953g	78	2.209238	48.804081	57.676472
KLLA0_F15136g	4	0.168403	3.720176	4.396489
KLLA0_F26675g	28	1.577778	34.854553	41.190975
KLLA0_C18612g	407	3.226218	71.270096	84.226723
KLLA0_C19272g	209	5.678419	125.441452	148.246216
KLLA0_F03509g	28	1.195876	26.417990	31.220678
KLLA0_C07557g	6	0.255051	5.634309	6.658604
KLLA0_D15246g	81	7.813334	172.603668	203.982346
KLLA0_D14663g	715	29.682966	655.723816	774.931763
KLLA0_E03653g	4	0.124369	2.747425	3.246896
KLLA0_F02255g	20	0.511628	11.302328	13.357047
KLLA0_F27049g	5	0.157428	3.477728	4.109965
KLLA0_E18481g	2	0.065233	1.441056	1.703035
KLLA0_E13663g	1	0.082524	1.823030	2.154450
KLLA0_C12573g	2162	44.211391	976.669983	1154.224731
KLLA0_E14895g	134	8.187051	180.859421	213.738953
KLLA0_D09911g	14	0.588235	12.994648	15.357023
KLLA0_D07832g	90	14.271028	315.260010	372.573059
KLLA0_E19515g	7	0.198371	4.382196	5.178862
KLLA0_D18051g	31	1.726974	38.150429	45.086029
KLLA0_E22045g	43	1.496557	33.060310	39.070541
KLLA0_C02937g	95	3.117988	68.879196	81.401161
KLLA0_E14103g	623	19.886591	439.312897	519.178284
KLLA0_F12210g	416	6.756619	149.259872	176.394730
KLLA0_D00550g	13	0.368391	8.138093	9.617566
KLLA0_F00726g	21	0.788580	17.420452	20.587421
KLLA0_F13464g	13	0.679956	15.020848	17.751579
KLLA0_F00132g	0	0.0	0.0	0.0
KLLA0_E21891g	5	0.147810	3.265258	3.858869
KLLA0_E19317g	13	1.581454	34.935760	41.286945
KLLA0_E05589g	347	15.936937	352.061462	416.064850
KLLA0_C18909g	57	1.389610	30.697754	36.278481
KLLA0_E03433g	6	0.220225	4.864971	5.749403
KLLA0_E08207g	6	0.177276	3.916188	4.628136
KLLA0_E23101g	209	7.374913	162.918549	192.536499
KLLA0_C18568g	253	5.544086	122.473915	144.739197
KLLA0_F24882g	70	2.869106	63.381172	74.903618
KLLA0_E10495g	18	2.141487	47.307396	55.907700
ENSRNAG049935441	1	0.259542	5.733519	6.775850
KLLA0_C13145g	199	4.256410	94.027977	111.121895
KLLA0_F14773g	0	0.0	0.0	0.0
KLLA0_A02893g	3	0.076803	1.696648	2.005092
KLLA0_C11143g	2983	188.499374	4164.123047	4921.144043
KLLA0_B01584g	5	0.156272	3.452191	4.079786
KLLA0_F12848g	11	0.528600	11.677255	13.800136
KLLA0_F05115g	60	5.064677	111.883331	132.223282
KLLA0_F21802g	60	1.660666	36.685627	43.354927
KLLA0_C08019g	35	1.918322	42.377480	50.081543
KLLA0_C12001g	8	0.496154	10.960494	12.953069
KLLA0_E12761g	6	0.198807	4.391828	5.190245
KLLA0_D14487g	42	3.964218	87.573189	103.493652
KLLA0_F19140g	5	0.158460	3.500526	4.136908
KLLA0_D12518g	11	0.809524	17.883121	21.134205
KLLA0_B04246g	314	8.924191	197.143524	232.983429
KLLA0_A06215g	59	2.393866	52.882683	62.496548
KLLA0_A05907g	137	6.682950	147.632462	174.471466
KLLA0_D00264g	0	0.0	0.0	0.0
KLLA0_F05918g	989	22.559286	498.355164	588.954224
KLLA0_E21099g	49	3.631111	80.214546	94.797241
KLLA0_A08448g	2	0.050025	1.105098	1.306000
KLLA0_E04753g	46	2.334340	51.567699	60.942505
KLLA0_C02299g	698	17.984825	397.301178	469.528992
KLLA0_F09867g	3	0.091892	2.029978	2.399020
KLLA0_C03740g	5	0.228540	5.048657	5.966483
KLLA0_C13948g	758	15.908941	351.442993	415.333954
KLLA0_B13123g	124	22.326241	493.207031	582.870117
KLLA0_F12914g	15	0.572312	12.642894	14.941322
KLLA0_E10143g	497	9.621817	212.554688	251.196320
KLLA0_D04202g	142	9.121212	201.495895	238.127045
KLLA0_F08789g	338	14.463476	319.511353	377.597290
KLLA0_C05412g	19	1.364444	30.141813	35.621475
KLLA0_E17513g	1	0.020097	0.443961	0.524671
KLLA0_F20900g	1047	65.630997	1449.848633	1713.425293
KLLA0_E15225g	76	3.135621	69.268730	81.861511
KLLA0_C17941g	7	0.577441	12.756197	15.075225
KLLA0_C11495g	14	0.508969	11.243589	13.287629
KLLA0_A09449g	3	0.087410	1.930967	2.282009
KLLA0_B11385g	175	2.028975	44.821907	52.970356
KLLA0_F24244g	37	0.674210	14.893913	17.601568
KLLA0_F12408g	17	1.140351	25.191395	29.771090
KLLA0_F13442g	37	1.056689	23.343224	27.586929
KLLA0_F25322g	75	0.999213	22.073526	26.086407
KLLA0_F21076g	66	1.257132	27.771193	32.819885
KLLA0_E09241g	19	1.228682	27.142706	32.077145
KLLA0_A08206g	46	3.334776	73.668236	87.060837
KLLA0_F06292g	2	0.082474	1.821926	2.153145
KLLA0_E16325g	349	7.110444	157.076187	185.632019
KLLA0_A07447g	18	0.596167	13.169873	15.564104
KLLA0_F19778g	122	3.130699	69.159996	81.733009
KLLA0_B11077g	4	0.115610	2.553930	3.018225
KLLA0_A10505g	52	6.445255	142.381546	168.265961
KLLA0_A10307g	133	5.537582	122.330238	144.569397
KLLA0_B14685g	23	0.674242	14.894622	17.602404
KLLA0_B01375g	22	0.582943	12.877743	15.218865
KLLA0_C14157g	70	1.077910	23.812012	28.140945
KLLA0_E11529g	5	0.317204	7.007326	8.281230
KLLA0_A02959g	39	1.160714	25.641230	30.302706
KLLA0_E07503g	71	4.772908	105.437889	124.606079
KLLA0_E16237g	24	0.956098	21.121077	24.960806
KLLA0_B00187g	2	0.301926	6.669820	7.882368
KLLA0_C07172g	6	0.165714	3.660773	4.326288
KLLA0_F04125g	44	1.478000	32.650368	38.586075
KLLA0_F04587g	245	1.839900	40.645069	48.034184
KLLA0_E12101g	177	3.556215	78.560036	92.841934
KLLA0_F02904g	2	0.076857	1.697841	2.006502
KLLA0_F26246g	23	0.645548	14.260743	16.853291
KLLA0_E08119g	57	0.521676	11.524299	13.619370
ENSRNAG049935474	0	0.0	0.0	0.0
KLLA0_B11033g	4	0.147577	3.260111	3.852786
KLLA0_B09900g	30	1.118943	24.718470	29.212193
