geneId	readCount	Coverage	FPKM	TPM
YALI0_E02970r	0	0.0	0.0	0.0
YALI0_E15125g	6535	532.698975	278.324341	281.452484
ENSRNA049655310	0	0.0	0.0	0.0
YALI0_D20746r	0	0.0	0.0	0.0
YALI0_A06127r	0	0.0	0.0	0.0
ENSRNA049650898	0	0.0	0.0	0.0
YALI0_B20438g	2554	281.848083	147.259857	148.914963
YALI0_F12133g	550	111.465866	58.238636	58.893192
YALI0_B01870g	1632	88.572578	46.277359	46.797482
YALI0_E05181g	752	183.442032	95.844711	96.921936
YALI0_D02024g	1426	76.668266	40.057602	40.507816
YALI0_B20416g	1810	189.776733	99.154465	100.268883
YALI0_B12980g	122	2.771215	1.447903	1.464177
YALI0_F08158r	1	0.097947	0.051175	0.051750
YALI0_A03355r	0	0.0	0.0	0.0
YALI0_F13387g	591	63.097355	32.967079	33.337605
YALI0_F31713g	526	25.274288	13.205298	13.353716
YALI0_E21307g	1127	76.784752	40.118465	40.569363
YALI0_E30371g	1898	278.973785	145.758087	147.396317
YALI0_F11847g	3162	145.185989	75.856712	76.709282
YALI0_C13376r	0	0.0	0.0	0.0
EFYLIG00000000406	0	0.0	0.0	0.0
YALI0_E11671g	1916	259.037476	135.341782	136.862930
YALI0_D03641g	349	45.445736	23.744467	24.011337
YALI0_F17908g	879	61.374134	32.066730	32.427135
YALI0_E24123g	216	21.950504	11.468690	11.597589
YALI0_B21010g	6	0.340489	0.177899	0.179898
YALI0_F26156g	333	134.795181	70.427727	71.219284
YALI0_C17545g	6379	522.475281	272.982635	276.050781
YALI0_E28622g	240	11.177778	5.840160	5.905799
YALI0_F31669g	1052	156.005875	81.509880	82.425987
YALI0_C20383g	0	0.0	0.0	0.0
YALI0_B10263g	479	37.883923	19.793575	20.016041
YALI0_E15752g	1	0.895833	0.468054	0.473315
YALI0_E34727g	1134	42.062477	21.976784	22.223785
YALI0_F12518r	1	0.055361	0.028925	0.029250
YALI0_F15411g	2	0.079403	0.041486	0.041953
YALI0_B18942g	46	1.280921	0.669255	0.676777
YALI0_F26730r	1	0.152106	0.079472	0.080365
YALI0_D20394g	675	42.439251	22.173641	22.422857
YALI0_A12375r	0	0.0	0.0	0.0
YALI0_A19514g	1881	108.035828	56.446510	57.080925
YALI0_E00550g	24655	5928.809570	3097.681885	3132.497314
EFYLIG00000000235	0	0.0	0.0	0.0
YALI0_E13662g	756	73.136971	38.212574	38.642052
YALI0_E26059g	672	62.815742	32.819942	33.188812
YALI0_E06391g	298	21.287943	11.122515	11.247523
ENSRNA049670347	84	91.336960	47.721695	48.258049
YALI0_F04246r	0	0.0	0.0	0.0
YALI0_A17941g	8861	483.467316	252.601791	255.440842
YALI0_A12683g	32	3.836341	2.004410	2.026938
YALI0_F02046g	6828	2525.827881	1319.693481	1334.525757
YALI0_D06589g	2762	183.712784	95.986168	97.064987
YALI0_C19239g	87	7.257877	3.792092	3.834713
YALI0_C18117g	1878	102.635284	53.624836	54.227543
YALI0_C06347g	741	45.842525	23.951782	24.220982
YALI0_A04279g	0	0.0	0.0	0.0
YALI0_C01155g	547	64.347321	33.620159	33.998024
YALI0_E15598g	1104	51.723770	27.024614	27.328350
YALI0_F04400g	766	192.333328	100.490234	101.619667
YALI0_E26851g	4031	459.984192	240.332352	243.033493
YALI0_C04389g	4745	636.316040	332.462128	336.198730
YALI0_B08987g	728	116.647621	60.945999	61.630985
YALI0_B15103g	33867	6590.499023	3443.400879	3482.102051
YALI0_E13860g	4	0.338610	0.176917	0.178905
YALI0_C20823g	125	4.736127	2.474530	2.502341
YALI0_E07535g	899	97.273315	50.823318	51.394531
YALI0_F01771g	4858	1739.886475	909.055115	919.272217
YALI0_D04202g	2926	192.774292	100.720627	101.852646
YALI0_B11022g	1054	373.312256	195.048019	197.240219
YALI0_B07711g	173	23.527666	12.292725	12.430885
YALI0_E24739g	3629	144.381409	75.436333	76.284180
