geneId	readCount	Coverage	FPKM	TPM
YALI0_C10967g	538	44.553368	21.831825	22.075142
YALI0_B14333g	129	4.789454	2.346905	2.373061
YALI0_F02563g	1631	260.121643	127.463539	128.884140
YALI0_C03223g	2937	732.427185	358.900421	362.900391
YALI0_D26081g	6	0.257707	0.126280	0.127688
EFYLIG00000000416	0	0.0	0.0	0.0
YALI0_E01034g	3136	158.486481	77.660774	78.526306
YALI0_C13024g	3	1.158470	0.567668	0.573995
YALI0_A16148g	35	8.508515	4.169302	4.215768
YALI0_E29733g	786	139.110519	68.166260	68.925972
YALI0_F19162g	1414	109.935333	53.869976	54.470364
YALI0_C06754g	372	37.799599	18.522377	18.728809
ENSRNA049669918	0	0.0	0.0	0.0
YALI0_F25663g	1010	118.879951	58.252975	58.902210
YALI0_D08536g	7856	312.970795	153.360428	155.069641
YALI0_C03135g	2983	104.378029	51.146816	51.716850
YALI0_D03113g	1109	55.281483	27.088764	27.390671
YALI0_E24937g	2427	150.460403	73.727875	74.549576
EFYLIG00000000413	0	0.0	0.0	0.0
YALI0_E34089g	1223	60.192009	29.494997	29.823719
YALI0_F30811g	1005	102.119843	50.040268	50.597969
YALI0_A01650g	37	3.535985	1.732686	1.751997
YALI0_B13046g	10	0.423611	0.207576	0.209889
YALI0_D25168g	13077	1033.455444	506.408813	512.052795
YALI0_B21780g	1169	126.862373	62.164486	62.857311
YALI0_D01265g	3687	319.048004	156.338348	158.080750
YALI0_C08393g	80	3.974359	1.947496	1.969201
EFYLIG00000000079	1	0.000446	0.000219	0.000221
YALI0_B17094r	0	0.0	0.0	0.0
YALI0_D14586g	882	269.896973	132.253601	133.727570
YALI0_A02244g	350	20.489548	10.040189	10.152087
EFYLIG00000000530	1	0.069061	0.033841	0.034218
YALI0_B06732g	811	70.855408	34.720222	35.107182
YALI0_B02464g	1696	242.878021	119.013908	120.340324
YALI0_A20944g	1623	182.104446	89.233932	90.228455
YALI0_E01078g	3736	283.224487	138.784286	140.331039
YALI0_E23199g	1642	326.960541	160.215622	162.001236
YALI0_E23650g	28	2.002203	0.981110	0.992044
YALI0_A06831g	457	44.191574	21.654541	21.895884
YALI0_B04554g	4	0.783037	0.383700	0.387976
YALI0_C16907g	14	0.852941	0.417954	0.422612
YALI0_D26884g	855	91.939301	45.051647	45.553757
EFYLIG00000000402	8	19.414635	9.513465	9.619493
YALI0_E02354g	2033	200.617798	98.305763	99.401382
YALI0_E11715g	38	3.162436	1.549642	1.566912
YALI0_A08165g	1394	32.390423	15.871798	16.048689
YALI0_A08668g	643	69.516617	34.064194	34.443844
YALI0_B01100g	4	0.479401	0.234914	0.237532
YALI0_A07425g	48	2.549333	1.249212	1.263134
YALI0_F30987g	12201	833.164978	408.263458	412.813599
YALI0_A16214g	2899	268.842072	131.736679	133.204910
YALI0_C22792g	225	10.854136	5.318691	5.377968
YALI0_B19492g	5750	329.779114	161.596756	163.397766
ENSRNA049656781	0	0.000000	0.000000	0.000000
YALI0_C03674g	5848	247.960953	121.504616	122.858803
YALI0_E20251g	1371	136.126846	66.704216	67.447639
YALI0_D24057g	604	76.718239	37.593098	38.012077
YALI0_E17589g	314	11.941931	5.851727	5.916945
YALI0_F05918g	2840	187.438568	91.847733	92.871391
