geneId	readCount	Coverage	FPKM	TPM
YALI0_F24695g	158892	20417.355469	5244.141113	4784.624023
YALI0_E12419g	4756	267.717957	68.762611	62.737297
YALI0_D19756g	386	22.991741	5.905365	5.387908
YALI0_E17149g	1805	122.723907	31.521296	28.759243
YALI0_F06050g	8726	1353.786499	347.716278	317.247711
YALI0_D22770g	2605	100.889145	25.913095	23.642464
YALI0_B18084g	11	1.542538	0.396197	0.361480
YALI0_E30250r	0	0.000000	0.000000	0.000000
YALI0_B11044g	1345	31.702381	8.142669	7.429168
YALI0_E33297g	111	10.312963	2.648856	2.416750
YALI0_E00946g	922	159.112823	40.867687	37.286659
YALI0_C22572g	272	32.871704	8.443006	7.703188
YALI0_E34221g	30	3.348073	0.859943	0.784591
YALI0_D24816g	7681	1944.080322	499.331635	455.577759
YALI0_F07337g	1557	156.858276	40.288609	36.758327
YALI0_E03036g	25205	1680.306885	431.582153	393.764832
YALI0_C15873g	41922	4383.049805	1125.774170	1027.128296
YALI0_D10153g	122	11.325926	2.909032	2.654129
YALI0_E04763g	848	94.817276	24.353554	22.219578
YALI0_C16434g	3393	604.250427	155.200043	141.600662
YALI0_D25124g	1474	63.605556	16.336910	14.905391
YALI0_C22803r	2	1.691598	0.434482	0.396411
YALI0_E19448g	2137	324.009003	83.220810	75.928596
YALI0_A10505r	0	0.000000	0.000000	0.000000
YALI0_F02189g	4980	519.047485	133.315903	121.634117
YALI0_D19272g	41	3.071321	0.788860	0.719736
YALI0_F16687g	854	92.065170	23.646683	21.574644
YALI0_F19470g	9426	805.406067	206.866302	188.739670
YALI0_A03905g	6374	666.386108	171.159424	156.161591
YALI0_E09757g	1107	116.367706	29.888721	27.269726
YALI0_C16478g	4673	683.978271	175.677917	160.284149
YALI0_A05291g	15	1.917989	0.492630	0.449463
YALI0_E29315g	40	3.749767	0.963117	0.878724
YALI0_E10395g	462	27.400352	7.037704	6.421026
YALI0_A20086g	484	38.773808	9.958945	9.086293
YALI0_B22000g	699	132.181641	33.950485	30.975580
YALI0_C02827g	11	1.136166	0.291821	0.266250
YALI0_A08624g	2	0.461153	0.118446	0.108067
YALI0_C16863g	1254	72.779312	18.693163	17.055178
YALI0_A01463g	238	16.837193	4.324586	3.945645
YALI0_F06259g	1709	483.408966	124.162247	113.282547
YALI0_F22979r	0	0.0	0.0	0.0
YALI0_A16588g	4727	97.444992	25.028477	22.835358
YALI0_A08151g	954	256.847992	65.970688	60.190018
YALI0_C12342g	6347	394.947632	101.441200	92.552422
YALI0_D12661g	1211	106.381203	27.323717	24.929478
EFYLIG00000000009	213	130.707321	33.571812	30.630085
YALI0_D02563g	3540	255.707443	65.677750	59.922741
YALI0_B18106r	0	0.0	0.0	0.0
YALI0_F26081g	960	73.061089	18.765537	17.121210
YALI0_B03366g	7127	1230.370972	316.017365	288.326385
ENSRNA049654483	1	0.988372	0.253861	0.231616
YALI0_E21417g	841	85.441086	21.945305	20.022350
YALI0_D19162g	881	33.618671	8.634862	7.878233
YALI0_A09922g	63858	17337.724609	4453.146484	4062.939941
YALI0_C14498g	5698	633.075928	162.603790	148.355652
YALI0_E10285g	1528	108.693443	27.917610	25.471331
YALI0_F21505g	4014	434.424438	111.580711	101.803467
YALI0_C09438g	506	32.263126	8.286695	7.560574
YALI0_F14663g	33148	13891.640625	3688.525879	3365.319092
YALI0_A12045g	4923	998.365479	256.427399	233.957977
YALI0_B08866g	99275	17872.947266	4590.616699	4188.364746
YALI0_D07348g	1431	154.389954	39.654629	36.179897
YALI0_C11077g	60	3.284153	0.843526	0.769612
YALI0_E02508g	348	17.661638	4.536343	4.138846
YALI0_F01419r	0	0.0	0.0	0.0
YALI0_F03113g	201	8.428215	2.164763	1.975076
YALI0_E27698g	2782	124.866219	32.071541	29.261276
YALI0_C02387g	11	2.442029	0.627228	0.572268
EFYLIG00000000342	5	3.926823	1.008594	0.920216
