geneId	readCount	Coverage	FPKM	TPM
YALI0_D11792g	545	11.998482	19.068323	19.333838
YALI0_A15125g	2806	46.914070	74.557159	75.595322
YALI0_B14567r	1	0.064019	0.101741	0.103157
YALI0_E22528r	1	0.078378	0.124561	0.126295
YALI0_F17842g	2959	59.697983	94.873711	96.194763
YALI0_F02475g	7861	195.831619	311.221100	315.554657
YALI0_C00869g	811	14.869702	23.631350	23.960398
YALI0_C08833g	42	2.070086	3.289839	3.335648
YALI0_E31427g	2976	58.830265	93.494713	94.796555
ENSRNA049655297	0	0.0	0.0	0.0
YALI0_E30767g	1404	64.587303	102.643959	104.073204
YALI0_E04070g	710	20.982670	33.346249	33.810574
YALI0_E22550g	57	0.459974	0.731004	0.741182
YALI0_B14223g	368	10.592040	16.833168	17.067558
YALI0_F18612g	4235	124.036362	197.122070	199.866852
YALI0_E05797g	4450	110.564697	175.712524	178.159195
YALI0_C03333g	2125	31.453802	49.987267	50.683304
YALI0_E31288g	2759	78.901382	125.392288	127.138298
YALI0_A05181g	1433	29.782080	47.330517	47.989563
YALI0_A02629g	168	13.854701	22.018280	22.324869
YALI0_F02981g	1858	39.213245	62.318790	63.186535
ENSRNA049669726	1	0.220531	0.350474	0.355354
YALI0_D14894g	3008	88.355621	140.417236	142.372452
YALI0_E02420g	4197	65.647789	104.329308	105.782021
YALI0_F01144g	616	17.641939	28.037066	28.427464
YALI0_A21307g	5340	89.610535	142.411575	144.394562
YALI0_C06974g	661	13.384347	21.270781	21.566961
YALI0_D01738g	3322	94.718781	150.529739	152.625778
YALI0_A11671g	412	6.636617	10.547098	10.693959
YALI0_A07843g	841	11.843537	18.822083	19.084166
YALI0_F02299g	1036	12.220594	19.421312	19.691740
YALI0_C09185g	2983	37.685841	59.891399	60.725342
YALI0_F12925g	155	3.292217	5.232084	5.304937
YALI0_E28072r	0	0.0	0.0	0.0
YALI0_D01716g	2483	97.537941	155.010040	157.168442
YALI0_D09449g	2185	39.614037	62.955742	63.832355
YALI0_E19173r	4	0.734192	1.166799	1.183045
EFYLIG00000000478	0	0.0	0.0	0.0
YALI0_A10310g	1795	57.451431	91.303429	92.574768
ENSRNA049670811	0	0.0	0.0	0.0
YALI0_D15796g	973	30.985712	53.642757	54.389698
YALI0_F22077g	1441	23.846460	37.897465	38.425159
YALI0_A15752g	9	0.685484	1.089390	1.104559
YALI0_C21362g	10848	279.633789	444.401886	450.589874
YALI0_B02618r	0	0.000000	0.000000	0.000000
YALI0_C03498g	3674	27.295040	43.378044	43.982052
YALI0_D20108g	58	1.105368	1.756682	1.781142
YALI0_D00539g	1988	35.192917	55.929573	56.708351
YALI0_F26719g	728	20.979105	33.340584	33.804825
YALI0_F03663g	60	1.082862	1.720915	1.744877
YALI0_F16423g	20	0.390921	0.621263	0.629913
YALI0_E02882g	3285	143.004501	227.266769	230.431290
YALI0_D24519g	858	28.493700	45.282986	45.913521
YALI0_E19514g	7182	81.674904	129.800049	131.607422
EFYLIG00000000643	0	0.0	0.0	0.0
YALI0_A00550g	81	1.470551	2.337041	2.369583
YALI0_E33187g	795	15.296148	24.309069	24.647554
YALI0_F20856g	3956	208.565475	391.827118	397.283020
YALI0_F31097g	292	13.270440	21.089756	21.383417
YALI0_F14113g	29	0.507702	0.806854	0.818089
YALI0_E07755r	0	0.0	0.0	0.0
YALI0_F22253r	0	0.000000	0.000000	0.000000
YALI0_E18414g	5775	91.660645	145.669678	147.698029
YALI0_F25091g	5823	55.833004	88.731377	89.966904
YALI0_E17941g	8154	270.862549	430.462372	436.456268
YALI0_E26026g	13833	639.778320	1016.753662	1030.911255
YALI0_F00286g	5067	33.943405	53.943813	54.694942
YALI0_E12683g	68582	875.759583	1391.781738	1411.161255
YALI0_D26315g	5344	31.706160	52.141350	52.867382
YALI0_D24101g	2918	47.158306	74.945305	75.988869
YALI0_E20163g	742	17.519152	27.841927	28.229609
YALI0_A15598g	5	0.655556	1.041828	1.056335
EFYLIG00000000469	62	19.666748	31.254948	31.690151
YALI0_F00396g	2728	40.693932	64.671944	65.572449
YALI0_E29799r	0	0.0	0.0	0.0
YALI0_E17743g	2963	34.338131	54.571125	55.330990
YALI0_B02794g	207	5.241228	8.329507	8.445489
YALI0_E03630g	2432	23.810875	37.840912	38.367817
YALI0_D21934g	2018	74.445290	118.310547	119.957932
YALI0_A14905g	35	0.921028	1.463724	1.484105
YALI0_A19998g	2264	22.987570	36.532490	37.041183
YALI0_E23518g	5183	165.891830	263.639954	267.310944
ENSRNA049672649	0	0.000000	0.000000	0.000000
ENSRNA049655546	1	0.260228	0.413562	0.419320
YALI0_F29271r	0	0.000000	0.000000	0.000000
ENSRNA049672800	1	0.158305	0.251583	0.255086
YALI0_A15488g	169	3.084124	4.901377	4.969625
YALI0_F17710g	1823	17.058407	27.109699	27.487183
YALI0_D24750g	32467	447.705170	711.505615	721.412903
YALI0_C22462g	1529	26.967154	42.856956	43.453712
YALI0_C07931g	1	0.086667	0.137734	0.139651
YALI0_E20273g	175	3.268214	5.193938	5.266260
YALI0_E04169g	1562	15.015921	23.863724	24.196009
YALI0_D22044g	712	34.932320	55.515423	56.288437
YALI0_E22649g	14193	231.981415	383.760956	389.104553
YALI0_B11770g	2261	45.140495	71.738548	72.737457
YALI0_F20130g	94	2.482601	3.945419	4.000357
YALI0_F19976g	1204	22.586409	35.894955	36.394768
YALI0_F15697g	3141	127.570030	202.737869	205.560867
YALI0_B13706g	838	15.474826	24.593029	24.935469
EFYLIG00000000634	4	1.150000	1.827612	1.853060
YALI0_E24211g	2534	37.043369	58.870361	59.690090
YALI0_B15059g	76932	347.833344	552.827515	560.525269
YALI0_C05192r	0	0.000000	0.000000	0.000000
YALI0_A20680g	1378	76.978806	122.336884	124.040344
YALI0_C20066g	53	9.175757	14.582373	14.785420
YALI0_F28303g	3257	26.147287	41.554005	42.132614
YALI0_A05731r	0	0.000000	0.000000	0.000000
YALI0_F13035g	105	5.937255	9.435653	9.567038
YALI0_D01177g	493	9.805213	15.582720	15.799699
YALI0_D04983g	9470	314.568146	499.920532	506.881592
YALI0_E13343g	2173	63.267067	100.545799	101.945831
YALI0_F02783g	703	13.288323	21.118177	21.412231
YALI0_D11000g	705	21.748669	34.563595	35.044868
YALI0_E01320g	426	17.360056	27.589090	27.973248
YALI0_E21439g	584	13.386382	21.274015	21.570240
YALI0_F07887g	841	26.205376	41.646320	42.226215
YALI0_D21978g	879	22.633778	35.970234	36.471096
YALI0_E14036g	2374	25.295479	40.200287	40.760044
YALI0_C20471g	9	0.120840	0.192042	0.194716
ENSRNA049655324	0	0.0	0.0	0.0
YALI0_D26213g	989	20.297239	32.256943	32.706100
ENSRNA049671213	1583	389.033905	618.263611	626.872498
YALI0_B17512g	6732	163.902603	260.478638	264.105621
YALI0_B21560g	1977	63.686668	101.212646	102.621956
YALI0_A17259g	9	0.395310	0.628238	0.636986
YALI0_F10945g	901	6.707756	10.660154	10.808590
YALI0_F18810g	1050	22.646578	35.990578	36.491722
YALI0_A00792r	0	0.0	0.0	0.0
YALI0_D06215g	8038	163.907883	260.487000	264.114136
YALI0_D17424g	3962	60.789421	96.608253	97.953461
YALI0_E07601g	5391	44.807682	71.209625	72.201172
YALI0_E01826g	730	20.332373	32.312778	32.762711
YALI0_F21494g	2	0.085938	0.136575	0.138477
YALI0_E03080g	2578	61.980099	98.500511	99.872070
YALI0_D13970g	21	0.390987	0.621368	0.630020
YALI0_E10967r	1	0.170139	0.270390	0.274155
YALI0_F21373g	679	73.749062	117.204079	118.836067
YALI0_B06006g	988	27.991201	44.484406	45.103821
YALI0_C07370r	0	0.000000	0.000000	0.000000
YALI0_B00110g	376	20.497175	32.574684	33.028267
YALI0_B14355g	4807	131.627014	209.185349	212.098114
YALI0_F08305g	6145	115.330742	183.286865	185.839005
