geneId	readCount	Coverage	FPKM	TPM
YALI0_C19943g	66	1.789671	3.073233	3.109705
YALI0_E30921g	1386	31.439749	53.988522	54.629230
YALI0_D15444g	825	7.958416	13.666239	13.828423
YALI0_A00369g	115	4.193711	7.201465	7.286928
YALI0_E33429g	1499	22.246799	38.202335	38.655701
YALI0_E25872g	836	26.560307	45.609516	46.150784
YALI0_D07326g	1601	20.227015	34.733948	35.146152
YALI0_C00451g	9174	153.960648	264.382141	267.519684
ENSRNA049673275	58	11.129802	19.112162	19.338976
YALI0_B05830g	389	30.042667	51.589447	52.201683
YALI0_F03245g	3185	23.661724	40.632053	41.114254
YALI0_E01782g	2073	33.061607	56.773586	57.447350
YALI0_E04675g	1934	39.772339	68.297295	69.107811
YALI0_E32769g	3365	63.153397	108.447388	109.734383
YALI0_F24189g	76	1.966935	3.377632	3.417717
YALI0_D07040g	2847	47.115868	80.907646	81.867821
YALI0_F03751g	181	3.028885	5.201219	5.262945
YALI0_B07777g	4	0.196721	0.337810	0.341819
YALI0_E16973g	305	7.547863	12.961235	13.115052
YALI0_B16500g	69623	1301.783325	2235.430176	2261.958984
YALI0_B17996g	253	2.608262	4.478923	4.532076
YALI0_F00528g	4804	274.749512	471.801483	477.400574
ENSRNA049652917	1	0.066033	0.113392	0.114738
YALI0_B09515g	4669	97.266525	167.026657	169.008850
YALI0_F26961g	78	2.273374	3.903852	3.950180
YALI0_D01958g	422	18.955038	32.549706	32.935986
YALI0_B15906g	2592	34.453003	59.162903	59.865017
YALI0_C06622g	420	9.570755	16.434956	16.629999
YALI0_D11220g	3220	55.370701	95.082901	96.211288
YALI0_F22561g	6557	316.908325	544.196899	550.655090
ENSRNA049671143	247	39.291210	67.471100	68.271812
EFYLIG00000000482	2	0.409722	0.703577	0.711927
YALI0_A14113r	0	0.000000	0.000000	0.000000
YALI0_D06083g	7700	222.831329	382.647278	387.188324
YALI0_E12573g	711	16.433811	28.220238	28.555141
YALI0_F03597g	795	22.666666	38.923332	39.385254
YALI0_E04246g	380	8.810898	15.130125	15.309683
YALI0_F04620g	2459	104.694565	179.782120	181.915695
YALI0_E32175g	474	28.608334	49.126400	49.709408
YALI0_D03888g	476	2.002902	3.439395	3.480212
YALI0_D10659g	3447	85.499573	156.598694	158.457123
YALI0_E26455g	33915	2341.687988	4021.160645	4068.881592
YALI0_C07953g	63155	865.954102	1487.021484	1504.668701
EFYLIG00000000307	2	0.506720	0.870143	0.880469
YALI0_F02695g	623	15.115578	25.956558	26.264599
YALI0_B18759g	2153	10.137035	17.407377	17.613958
YALI0_E10439g	1486	39.787628	68.323547	69.134377
YALI0_C18832r	2	0.331830	0.569820	0.576583
YALI0_F12771g	972	25.248207	43.356369	43.870903
YALI0_E22627g	291	12.262009	21.056395	21.306280
YALI0_D08514g	3852	157.094238	269.763153	272.964569
YALI0_F31977g	1132	8.403536	14.430601	14.601856
YALI0_D27280g	1505	23.769608	40.817310	41.301708
ENSRNA049670550	1	0.007027	0.012067	0.012210
YALI0_D21406g	322	10.532204	18.085962	18.300598
YALI0_B10087g	63	1.348281	2.315276	2.342753
YALI0_B10560g	1339	21.204372	36.412273	36.844395
YALI0_F21945g	989	11.840975	20.333391	20.574699
YALI0_A16489g	374	11.595927	19.912596	20.148907
YALI0_B03652g	4247	164.868805	283.113678	286.473511
EFYLIG00000000556	0	0.0	0.0	0.0
YALI0_B11902g	296	3.665811	6.294952	6.369658
YALI0_E35024g	2768	217.509491	373.508575	377.941193
YALI0_A14784g	5858	341.072296	585.691345	592.642029
YALI0_F25773g	179	3.756522	6.450722	6.527276
YALI0_A20570g	433	13.186120	22.643282	22.912003
YALI0_D09427g	6912	206.854492	355.211761	359.427246
YALI0_F06358g	14052	246.963028	424.086365	429.119202
YALI0_A02717g	1427	43.106251	74.022308	74.900772
YALI0_C07744g	312	5.635456	9.677238	9.792083
YALI0_B03850g	278	5.376753	9.232991	9.342565
ENSRNA049654159	7	2.178984	3.741764	3.786170
YALI0_F02057g	1441	17.509853	30.068024	30.424856
YALI0_E20647g	1608	38.087418	65.403938	66.180115
YALI0_C09350g	1780	97.715912	167.798340	169.789688
YALI0_E32351g	1105	33.351040	57.270599	57.950260
YALI0_F19096g	1391	15.019367	25.791346	26.097424
YALI0_A08734g	346	7.437268	12.771320	12.922884
YALI0_E21714r	0	0.000000	0.000000	0.000000
YALI0_B18964g	5205	53.806061	92.396080	93.492592
YALI0_C20691g	189	3.543860	6.085537	6.157757
YALI0_A02266g	2515	27.751143	47.654427	48.219963
YALI0_A08327g	2	0.144068	0.247394	0.250330
ENSRNA049650865	0	0.0	0.0	0.0
YALI0_F16467g	684	11.020000	18.923609	19.148184
YALI0_A20966g	1168	82.408760	141.512802	143.192215
YALI0_E04268g	377	9.250212	15.884519	16.073029
YALI0_E05533g	10293	253.175568	434.754578	439.914032
ENSRNA049671322	0	0.000000	0.000000	0.000000
YALI0_A03443g	3386	53.998348	92.726280	93.826714
EFYLIG00000000238	0	0.000000	0.000000	0.000000
YALI0_F00814g	263	19.794271	33.990841	34.394226
YALI0_F17028g	537	11.735294	20.151917	20.391069
YALI0_D03179g	1791	13.832356	27.000694	27.321123
YALI0_E14993g	1588	42.382137	72.778854	73.642555
YALI0_E19426g	362	14.160594	24.316656	24.605234
YALI0_A01602g	246	3.765188	6.465603	6.542334
YALI0_E09933g	3262	38.406822	65.952423	66.735115
YALI0_F26763g	764	6.116086	10.502579	10.627218
YALI0_F03619g	643	12.666667	21.751276	22.009409
YALI0_C06820g	9838	261.247253	448.615326	453.939240
YALI0_C11858g	719	9.086388	15.603198	15.788370
YALI0_E31449g	2251	46.576015	79.980614	80.929779
YALI0_D26345g	949	26.739555	45.917324	46.462246
YALI0_D24563g	564	25.961586	44.581390	45.110458
YALI0_D21098g	1140	27.545834	47.301868	47.863224
YALI0_F15477g	8269	242.194962	415.898621	420.834290
EFYLIG00000000311	0	0.0	0.0	0.0
YALI0_E31031g	2963	77.201256	132.570450	134.143738
YALI0_B01980g	546	11.853932	20.355642	20.597212
YALI0_F26147g	732	29.355463	50.409374	51.007610
YALI0_B22308g	3330	60.161369	103.309456	104.535477
YALI0_B12870g	329	7.867162	13.509538	13.669861
YALI0_F30107g	1240	50.545712	86.797394	87.827461
YALI0_B14267g	6673	258.019348	443.072357	448.330505
YALI0_A17710r	0	0.0	0.0	0.0
YALI0_E00506g	1243	12.486140	21.441273	21.695728
YALI0_E09262g	739	16.992064	29.178871	29.525152
YALI0_E30723g	515	10.080460	17.310225	17.515654
YALI0_A13915g	0	0.0	0.0	0.0
YALI0_B05632g	538	9.983974	17.144541	17.348001
YALI0_D18359g	3485	65.651070	112.736404	114.074303
YALI0_B01224g	2368	16.263445	27.927683	28.259115
YALI0_E28402g	96	1.279704	2.197515	2.223594
YALI0_A11803g	237	7.085655	12.167529	12.311927
YALI0_E20119g	5291	280.987183	482.512848	488.239044
YALI0_F02453g	2225	49.655888	85.269379	86.281319
YALI0_A14069g	11	0.372475	0.639616	0.647207
YALI0_C12815r	0	0.0	0.0	0.0
YALI0_F11539g	2721	64.922630	111.485527	112.808578
YALI0_F14927g	2624	32.061947	55.056961	55.710350
YALI0_D12727g	542	8.407169	14.436841	14.608170
YALI0_D06369g	238	7.298413	12.532877	12.681612
YALI0_D21802g	1294	9.745648	16.735285	16.933889
YALI0_D22847g	1065	24.967638	42.874573	43.383389
YALI0_F04488r	0	0.000000	0.000000	0.000000
YALI0_D13090g	1856	61.845978	106.202278	107.462631
ENSRNA049669801	2	0.353326	0.606733	0.613934
YALI0_C10648g	1989	8.152531	13.999574	14.165713
YALI0_C12166g	0	0.000000	0.000000	0.000000
YALI0_F30426g	3122	181.791168	312.172852	315.877563
YALI0_E15268g	4757	259.796600	446.124268	451.418640
YALI0_A20174g	3644	43.965462	75.497749	76.393715
YALI0_B16610g	759	22.915625	39.350845	39.817841
YALI0_C05423r	0	0.000000	0.000000	0.000000
EFYLIG00000000398	1	0.092125	0.158198	0.160075
ENSRNA049672426	0	0.000000	0.000000	0.000000
YALI0_C11055g	476	21.276234	36.535675	36.969261
YALI0_E21472g	348	21.658064	37.191357	37.632725
YALI0_D12496g	1990	43.123318	74.051620	74.930420
YALI0_D11286g	1823	81.939537	140.707062	142.376892
YALI0_F10879r	2	0.421621	0.724010	0.732602
YALI0_F04686g	1184	10.066608	17.286440	17.491585
YALI0_B20878g	2779	90.131989	154.775177	156.611984
YALI0_C19536r	3	0.544876	0.935664	0.946768
YALI0_C05236g	1802	102.441177	175.912598	178.000229
YALI0_A00220r	0	0.000000	0.000000	0.000000
YALI0_B10274g	1211	70.943436	121.824478	123.270233
YALI0_A04576r	1	0.132145	0.226920	0.229613
YALI0_F16049g	714	22.027689	37.826080	38.274975
YALI0_B01430g	504	9.048946	15.538905	15.723311
YALI0_F31020g	234	15.666667	26.902893	27.222162
YALI0_F29843g	3115	40.083889	68.832291	69.649155
EFYLIG00000000084	1	0.274687	0.471694	0.477292
YALI0_D23749g	2866	37.734787	64.798393	65.567398
YALI0_C05599g	1461	29.101719	49.973644	50.566704
YALI0_D05379g	1913	15.882302	27.390842	27.715902
YALI0_D17072g	2058	107.501801	218.517685	221.110947
YALI0_F00792g	275	6.470732	11.111580	11.243445
YALI0_A09658g	3308	54.928986	94.324379	95.443771
YALI0_C05489g	838	16.330645	28.043079	28.375881
YALI0_F31229g	4471	79.288689	136.154999	137.770828
YALI0_B01254g	228	11.659612	20.021955	20.259565
YALI0_B00704g	2917	131.757004	226.253906	228.938965
YALI0_C10736g	483	18.420288	31.631426	32.006813
YALI0_D25806g	1163	28.739983	49.352470	49.938156
YALI0_F07084g	3666	15.291182	26.258106	26.569725
YALI0_E19140g	0	0.0	0.0	0.0
YALI0_B20834g	4435	40.790359	70.045448	70.876709
YALI0_E08316g	2530	27.752176	47.656200	48.221760
YALI0_B06941g	1305	51.669399	88.726997	89.779968
YALI0_E08338g	3489	22.095894	37.943199	38.393490
YALI0_F13893r	0	0.0	0.0	0.0
YALI0_E19382g	1533	22.964340	39.434502	39.902489
YALI0_C23012r	1	0.159459	0.273824	0.277074
YALI0_E11913g	586	13.453682	23.102741	23.376913
YALI0_B05126g	3181	58.681297	100.767876	101.963730
YALI0_F14311g	428	12.375249	21.250851	21.503044
YALI0_F06116g	7011	119.524994	205.249023	207.684814
YALI0_E10989g	605	16.902697	29.025412	29.369867
YALI0_F06138g	282	5.703704	9.794435	9.910669
YALI0_E20361g	5452	125.759743	215.955368	218.518219
EFYLIG00000000146	1	0.260417	0.447190	0.452497
YALI0_B20526g	44	1.059372	1.819160	1.840749
YALI0_C22836g	6357	917.129333	1574.899902	1593.590088
YALI0_E16665g	962	36.589237	62.831253	63.576900
YALI0_F10373g	193	3.720000	6.388006	6.463816
YALI0_C13794g	321	8.278966	14.216689	14.385406
YALI0_A07271r	1	0.083099	0.142698	0.144392
YALI0_E28919g	941	30.311111	52.050419	52.668129
EFYLIG00000000461	103	35.300671	60.618523	61.337914
YALI0_E18282g	673	19.877676	34.134060	34.539146
YALI0_F28435g	436	8.229167	14.131174	14.298876
YALI0_E27181g	645	9.035801	15.516330	15.700471
YALI0_F18766g	8698	346.006866	594.165039	601.216309
YALI0_F01969g	730	8.701235	14.941813	15.119134
YALI0_E32131g	1148	19.838402	34.066624	34.470905
YALI0_B16104g	2580	47.230431	81.104378	82.066879
YALI0_C14190g	5841	85.679817	147.129883	148.875946
ENSRNA049658956	1	0.160326	0.275313	0.278580
YALI0_E15081g	6009	71.003670	121.927917	123.374901
YALI0_D06633g	246	6.985294	11.995188	12.137541
YALI0_F22693g	4088	109.443222	187.936539	190.166885
YALI0_D05247g	797	31.816805	54.636005	55.284397
YALI0_E00638g	5472	114.977539	197.440109	199.783218
YALI0_E31947r	59	6.422223	11.028279	11.159157
YALI0_C15304g	691	28.963821	49.979225	50.572353
YALI0_C04543g	591	9.283469	15.941628	16.130816
YALI0_E26301g	602	20.708185	35.560219	35.982231
YALI0_E00616g	8	0.629969	1.081787	1.094625
YALI0_C12276g	5281	100.275703	172.194031	174.237549
YALI0_C06886g	7088	433.607605	744.593567	753.429993
YALI0_D10747g	1701	98.413170	168.995667	171.001221
YALI0_C08220g	651	13.159105	32.469780	32.855114
ENSRNA049652890	2	0.390244	0.670129	0.678082
YALI0_D11396g	120	5.684729	9.761850	9.877699
YALI0_C21956g	2273	30.985426	53.208359	53.839806
YALI0_D04444g	1923	14.420739	24.763378	25.057257
YALI0_C22022g	465	6.647408	11.414968	11.550435
YALI0_E12859g	5064	83.812218	143.922836	145.630829
YALI0_A14861g	591	5.278446	9.064178	9.171747
YALI0_E15246g	6407	271.638885	466.459900	471.995605
YALI0_A18524g	1590	51.402454	88.268593	89.316124
YALI0_B04906g	3030	50.658592	86.991234	88.023598
YALI0_E15884g	313	11.782552	20.233067	20.473183
YALI0_A20328g	2719	35.457939	60.888580	61.611179
YALI0_C17567g	1477	54.273766	93.199234	94.305267
YALI0_E11121g	1736	29.582598	50.799412	51.402275
YALI0_F23243g	2564	54.104076	92.907837	94.010422
EFYLIG00000000256	2	0.300637	0.516256	0.522382
YALI0_A17666g	202	3.771318	6.476130	6.552985
YALI0_F09471g	463	17.949129	30.822350	31.188135
YALI0_E24673g	7918	130.833618	224.668274	227.334503
ENSRNA049655442	1	0.074648	0.128186	0.129707
YALI0_D22935g	1959	26.781706	45.989704	46.535484
YALI0_C08745g	619	23.068211	39.612869	40.082973
ENSRNA049657580	0	0.0	0.0	0.0
YALI0_E03806g	474	18.669390	32.059185	32.439648
YALI0_F20900g	561	15.262911	26.209560	26.520603
YALI0_F13354g	380	33.045044	56.745144	57.418568
ENSRNA049672984	1	0.008529	0.014646	0.014820
ENSRNA049658709	0	0.0	0.0	0.0
YALI0_B15125g	4960	243.357025	417.894135	422.853485
ENSRNA049655416	0	0.0	0.0	0.0
YALI0_F13761g	1259	30.799156	52.888493	53.516148
YALI0_E01870g	1639	27.592333	47.381718	47.944016
YALI0_D20658g	326	4.533813	7.785491	7.877885
YALI0_F26697g	2789	177.355270	304.555542	308.169800
YALI0_F28083g	1816	34.420914	59.107792	59.809254
ENSRNA049670194	0	0.0	0.0	0.0
YALI0_F03388g	19989	361.167603	620.199158	627.559387
YALI0_F18854g	746	21.891590	37.592369	38.038494
YALI0_E34606g	7978	29.410666	50.504169	51.103527
YALI0_D11968g	1031	22.902681	39.328621	39.795353
YALI0_C06017g	39	2.268687	3.895803	3.942036
YALI0_B09251g	811	16.537271	28.397900	28.734911
YALI0_E33165g	1382	35.990116	61.802437	62.535881
YALI0_D00319g	6230	99.372940	170.643799	172.668915
EFYLIG00000000496	1	0.066292	0.113837	0.115188
YALI0_E19833r	0	0.0	0.0	0.0
YALI0_A03465r	0	0.000000	0.000000	0.000000
YALI0_D24651g	1774	29.603338	50.835026	51.438313
YALI0_D17732g	2671	9.438932	17.321255	17.526815
YALI0_E24431g	467	4.787815	8.221664	8.319235
YALI0_C10076g	9	0.148428	0.254881	0.257906
YALI0_C08118g	3314	121.314392	208.321793	210.794052
YALI0_F17754g	1547	61.252731	105.183548	106.431816
YALI0_F27291g	865	12.817996	22.011139	22.272356
YALI0_C17963g	40	0.714732	1.227342	1.241907
YALI0_D02585g	896	18.541756	31.840014	32.217873
YALI0_C20141g	373	19.441441	33.384956	33.781151
YALI0_A14366g	504	25.227980	43.321632	43.835754
YALI0_F31207g	4404	112.604057	193.364349	195.659103
ENSRNA049654521	0	0.0	0.0	0.0
YALI0_E18942g	2691	44.159027	75.830139	76.730057
YALI0_F25201g	531	29.297142	50.309223	50.906269
ENSRNA049673153	1	0.176966	0.303887	0.307493
YALI0_E10263g	1099	29.342541	50.387184	50.985153
YALI0_F14685g	653	33.205265	57.020275	57.696968
YALI0_E21219g	6132	459.470276	789.005066	798.368591
ENSRNA049658034	0	0.0	0.0	0.0
YALI0_B15752g	1893	95.289932	163.632431	165.574341
YALI0_D26433g	468	6.320349	10.853341	10.982142
YALI0_B06391g	60	1.049451	1.802123	1.823510
YALI0_A02416g	88	15.017858	25.788755	26.094803
