geneId	readCount	Coverage	FPKM	TPM
YALI0_D09141g	663	46.373116	36.908051	33.919083
YALI0_B05500g	4806	830.633911	680.407349	625.305176
YALI0_F01078g	10	0.286517	0.228037	0.209570
YALI0_E05973g	121	1.595573	1.269906	1.167064
YALI0_E34529g	1779	74.820129	59.548840	54.726326
YALI0_D04961g	1443	13.835684	11.011727	10.119952
YALI0_D21684g	1290	17.059662	13.577670	12.478094
YALI0_F23199g	459	23.190475	18.457144	16.962408
YALI0_B10824g	242	22.189192	17.660229	16.230030
ENSRNA049652041	0	0.0	0.0	0.0
YALI0_C20060g	33	10.314466	8.209214	7.544398
YALI0_D26620g	1046	14.130365	11.246263	10.335493
YALI0_F02761g	481	29.275986	23.300560	21.413584
YALI0_E33759g	3394	52.918961	42.117844	38.706966
YALI0_F11715g	43	11.639785	9.264027	8.513787
YALI0_F25355r	0	0.0	0.0	0.0
YALI0_C17699r	1	0.109756	0.087354	0.080280
YALI0_B18568g	8539	240.330002	191.277023	175.786621
YALI0_E03894g	400	14.200139	11.301795	10.386529
EFYLIG00000000306	34	18.901089	15.043249	13.824985
YALI0_E30987g	160	8.534591	6.792624	6.242529
ENSRNA049655432	1	0.137840	0.109706	0.100821
EFYLIG00000000271	1	0.285915	0.227558	0.209129
YALI0_F23551g	3907	210.175110	167.276962	153.730164
YALI0_C12386g	4252	198.022827	157.605042	144.841537
YALI0_C10846g	1328	66.390198	52.839512	48.560349
YALI0_E21582g	1469	44.328598	35.280834	32.423645
YALI0_B07073g	1136	86.963966	69.214043	63.608799
YALI0_E17017g	1406	57.729469	45.946499	42.225559
YALI0_E19404g	283	11.056705	8.799957	8.087300
YALI0_D24409g	11820	339.998322	270.602356	248.687881
YALI0_A05005g	13	0.656716	0.522676	0.480347
YALI0_F19602g	6409	528.881897	420.933563	386.844604
YALI0_E32857g	1381	5.891623	4.689103	4.309360
EFYLIG00000000064	0	0.0	0.0	0.0
YALI0_A16170g	7882	433.625671	345.119751	317.170532
YALI0_B20614g	10	0.461765	0.367516	0.337753
YALI0_C04136g	2191	17.123993	13.628871	12.525147
YALI0_C07282g	218	18.574539	14.783351	13.586134
YALI0_F01034g	1644	37.815517	30.097116	27.659725
YALI0_E19162g	472	20.009144	15.925143	14.635459
YALI0_D10285g	1182	24.519333	19.514772	17.934385
YALI0_B10021g	1300	39.111504	31.128584	28.607662
YALI0_C09658g	2565	169.609604	134.991150	124.058998
YALI0_C03047g	833	50.541668	40.225773	36.968124
YALI0_F24937g	21797	1096.294922	872.533752	801.872375
YALI0_E30811g	11046	1422.497437	1132.156128	1040.469482
YALI0_E14168g	404	28.929676	23.024935	21.160280
YALI0_B11550g	1653	27.698553	22.045092	20.259790
YALI0_B20515r	1	0.000803	0.000639	0.000587
YALI0_A09856g	7101	121.309883	96.549721	88.730721
YALI0_B02662g	6310	162.765305	129.543808	119.052818
YALI0_D06908g	1064	220.483734	175.481522	161.270294
YALI0_D25608g	685	18.677902	14.865616	13.661737
YALI0_B07205g	4868	299.451141	324.401978	298.130554
EFYLIG00000000608	0	0.000000	0.000000	0.000000
YALI0_D00891g	385	9.732639	7.746142	7.118827
YALI0_D19448g	759	48.282146	38.427433	35.315422
YALI0_D14630g	5406	431.388092	343.338898	315.533875
YALI0_E30019g	321	13.917306	11.076690	10.179654
YALI0_C15356g	1774	29.409431	23.406769	21.511192
YALI0_E19272g	3636	170.741257	135.891815	124.886742
YALI0_C06193g	9283	547.898132	436.068451	400.753784
YALI0_F10197g	24734	1247.693359	993.030762	912.610962
YALI0_B02860g	9699	168.247955	133.907410	123.063034
YALI0_D05885r	0	0.0	0.0	0.0
YALI0_F27445g	401	15.491667	12.329714	11.331203
EFYLIG00000000080	11	3.589041	2.856493	2.625163
YALI0_E14146g	831	55.828724	44.433708	40.835281
YALI0_B17402g	16657	586.263611	466.603271	428.815796
YALI0_D09757g	2849	149.454727	118.950020	109.316940
YALI0_E21131g	5276	167.304108	133.156204	122.372673
EFYLIG00000000481	0	0.0	0.0	0.0
YALI0_F29931g	549	75.810303	60.336906	55.450577
ENSRNA049671734	1	0.105488	0.083957	0.077158
YALI0_C20955g	1237	58.728123	46.741318	42.956013
YALI0_E34903g	977	35.174435	27.995094	25.727938
YALI0_F19800g	8567	303.412537	241.484009	221.927628
YALI0_C05302g	854	45.061077	35.863811	32.959408
YALI0_F31537g	421	25.737410	20.484232	18.825333
YALI0_F17336g	808	83.216164	66.231186	60.867508
YALI0_C22616g	642	13.038630	10.377357	9.536957
YALI0_F00924g	5940	438.971008	349.374084	321.080322
YALI0_F13145g	267	16.995007	13.526212	12.430802
YALI0_F25531g	9083	1087.338013	865.404968	795.320923
YALI0_F16731g	1040	43.010544	34.231804	31.459570
YALI0_E18095g	744	22.322144	17.766045	16.327276
YALI0_E12661g	15	0.541401	0.430897	0.396002
YALI0_C22638g	0	0.0	0.0	0.0
YALI0_F31779r	0	0.000000	0.000000	0.000000
YALI0_F08591g	1699	40.486210	32.222702	29.613173
YALI0_A06886g	1083	48.164921	38.334137	35.229679
YALI0_D08074r	0	0.0	0.0	0.0
YALI0_C15290g	772	29.476404	23.460072	21.560179
YALI0_B10384g	4793	136.236908	108.430038	99.648926
YALI0_C10868g	1672	21.841032	17.383129	15.975372
YALI0_F23815g	1818	37.539085	29.877106	27.457533
YALI0_C02255g	164	21.267176	16.926401	15.555633
YALI0_E00374r	0	0.0	0.0	0.0
YALI0_D23463g	6488	59.229683	47.140507	43.322872
YALI0_D07458g	729	32.945923	26.221437	24.097918
YALI0_B16632g	4710	73.178246	58.242073	53.525391
YALI0_F08481g	4665	861.916687	685.993713	630.439087
YALI0_B18546g	754	62.489429	49.734917	45.707176
YALI0_C24321g	3311	176.408569	140.402405	129.032028
YALI0_F30635g	532	22.630743	18.011656	16.552998
YALI0_D07304g	12	0.500409	0.398272	0.366018
YALI0_F28677g	4255	63.896347	50.854671	46.736252
YALI0_D03480g	3595	51.310665	40.837814	37.530598
YALI0_E16533g	820	64.823524	51.592609	47.414425
YALI0_E00836g	185	6.466942	5.146996	4.730171
YALI0_B14707g	1190	104.737480	83.359856	76.609032
YALI0_F09581g	629	18.295092	14.560940	13.381736
YALI0_B22176g	3845	110.599548	88.025436	80.896774
YALI0_E10153g	296	6.306114	5.018994	4.612535
YALI0_E14234g	6038	62.656898	49.868202	45.829670
ENSRNA049669843	0	0.000000	0.000000	0.000000
ENSRNA049657517	0	0.0	0.0	0.0
YALI0_E29307g	3118	73.913528	58.827282	54.063202
YALI0_D04763g	240	21.426317	17.053062	15.672034
YALI0_E23408g	2346	39.092155	31.113182	28.593510
ENSRNA049658123	3	1.172414	0.933116	0.857549
YALI0_D25542g	999	37.386932	29.756008	27.346243
YALI0_A08961r	5	4.130208	3.287205	3.020993
YALI0_D14080g	1147	41.305790	32.875000	30.212645
YALI0_E15708g	3411	105.797447	84.203476	77.384331
YALI0_C24277g	3500	182.506134	145.255402	133.492020
YALI0_E24035g	1043	34.538662	27.489090	25.262907
YALI0_F26565g	54974	4346.741211	3459.542236	3179.374023
YALI0_E19635g	1115	49.879826	39.699020	36.484024
YALI0_E27225g	81	4.002924	3.185900	2.927893
YALI0_F24343g	648	46.868084	37.301991	34.281124
ENSRNA049671622	0	0.0	0.0	0.0
YALI0_C00627g	1334	40.686417	32.382046	29.759613
YALI0_F06292g	1003	83.573524	66.515602	61.128899
YALI0_B20790g	473	25.002079	19.898987	18.287485
YALI0_E26807g	618	21.260458	16.921055	15.550718
YALI0_B20372g	15592	542.028625	431.396942	396.460602
YALI0_D07062g	577	28.402899	22.605677	20.774975
YALI0_F15345g	10020	314.263214	250.119980	229.864212
YALI0_E00330g	13055	470.170898	374.205841	343.901123
YALI0_D03465g	108	5.105850	4.063712	3.734616
YALI0_C22253g	2344	72.838509	57.971684	53.276894
EFYLIG00000000462	0	0.0	0.0	0.0
YALI0_C22088g	1200	53.503063	42.582726	39.134205
YALI0_B05610g	4977	805.746033	641.287842	589.353699
YALI0_E30525g	2372	83.481712	66.442535	61.061741
YALI0_B03564g	39333	2129.479736	1694.838623	1557.583496
YALI0_A12001g	1538	19.422981	15.458621	14.206717
YALI0_E18898g	3409	31.659563	25.197634	23.157024
YALI0_A15213r	0	0.0	0.0	0.0
YALI0_B00264g	1187	76.405304	60.810467	55.885784
YALI0_F25575g	602	44.463768	35.388412	32.522514
YALI0_F07469g	5384	361.716736	287.887939	264.573547
YALI0_F30085g	8681	515.982544	410.667053	377.409515
YALI0_F08129g	148	7.341154	5.842775	5.369603
YALI0_D21230g	2555	90.650658	72.148247	66.305382
YALI0_B16126g	8816	452.773407	360.359314	331.175934
YALI0_B16082g	269	36.827957	29.311121	26.937386
YALI0_F29975g	26130	1741.958130	1386.412842	1274.135376
EFYLIG00000000321	0	0.0	0.0	0.0
