geneId	readCount	Coverage	FPKM	TPM
YALI0_B05852g	290	8.760462	102.651108	105.196121
YALI0_C04004g	288	8.620985	101.016792	103.521278
YALI0_B14036g	121	8.105769	94.979721	97.334534
YALI0_E32542g	509	13.697436	160.500336	164.479584
YALI0_B17226g	42	1.121734	13.143970	13.469846
YALI0_E23947g	202	8.277451	96.991409	99.396095
YALI0_B00440g	0	0.0	0.0	0.0
YALI0_A04785g	15	0.663451	7.774017	7.966757
YALI0_E21087g	324	16.083925	188.464127	193.136688
ENSRNA049673350	2	0.761364	8.921317	9.142502
YALI0_F26411g	252	11.241747	131.725677	134.991531
YALI0_E07315g	41	0.999408	11.710609	12.000948
YALI0_D11990g	135	2.563094	30.033171	30.777779
YALI0_C23991g	135	4.615889	54.086891	55.427856
YALI0_E21560g	0	0.000000	0.000000	0.000000
YALI0_B08965g	148	10.056911	117.842323	120.763962
YALI0_A20295g	77	4.953917	58.047749	59.486916
YALI0_E15059g	6	0.345853	4.052548	4.153022
YALI0_A11517g	32	1.321321	15.482638	15.866498
YALI0_F04774g	1275	163.730881	1918.524048	1966.089722
YALI0_C08096g	41	0.492091	5.766099	5.909057
YALI0_D23837g	1	0.057692	0.676009	0.692769
YALI0_E27159g	7	0.174688	2.046915	2.097663
YALI0_B21054g	100	2.145641	25.141647	25.764978
YALI0_A20229r	0	0.0	0.0	0.0
YALI0_F10549g	7	0.215078	2.520186	2.582669
YALI0_D09361g	7874	141.327774	1656.014648	1697.071899
YALI0_B01320g	234	3.835092	44.937866	46.052002
EFYLIG00000000029	0	0.0	0.0	0.0
YALI0_C08998r	0	0.0	0.0	0.0
YALI0_A15950g	483	7.888629	92.435371	94.727104
YALI0_C03542g	0	0.0	0.0	0.0
EFYLIG00000000106	1	0.417582	4.893036	5.014349
EFYLIG00000000050	0	0.0	0.0	0.0
YALI0_E26125g	2278	136.855515	1603.610718	1643.368896
YALI0_F15455r	0	0.0	0.0	0.0
YALI0_F19844g	98	2.296857	26.913528	27.580790
YALI0_C15158g	1	0.001696	0.019873	0.020366
YALI0_D03740g	0	0.0	0.0	0.0
YALI0_A19008g	56	0.814893	9.548546	9.785281
YALI0_F03861g	74	1.512933	17.727861	18.167385
YALI0_C05577g	23	2.454780	28.763998	29.477139
YALI0_E07942g	538	12.520244	146.706528	150.343796
YALI0_F18788g	110	3.193638	37.421600	38.349388
YALI0_A10615g	1411	24.651686	288.857269	296.018860
YALI0_E13706g	1404	29.272886	343.006409	351.510468
YALI0_B08712g	314	12.552381	147.083099	150.729706
YALI0_C21296g	11	0.433998	5.085391	5.211473
YALI0_D04092g	103	4.618458	54.116989	55.458706
YALI0_F29337g	1377	44.593365	522.524780	535.479675
YALI0_B19932r	0	0.0	0.0	0.0
YALI0_F05698g	123	1.667316	19.536852	20.021225
YALI0_C07260g	9	0.227937	2.670862	2.737080
YALI0_A15103g	18	0.434234	5.088157	5.214306
YALI0_D07832g	57	1.922088	22.522156	23.080542
YALI0_B14938r	0	0.0	0.0	0.0
YALI0_B03630g	270	9.344059	109.489441	112.203987
YALI0_E02794g	270	14.879265	174.348465	178.671066
YALI0_F17138g	123	5.699889	66.788712	68.444588
YALI0_B11176g	16	0.777381	9.108997	9.334835
YALI0_F21527g	168	10.630303	124.561073	127.649284
YALI0_D10813g	72	3.250545	38.088413	39.032730
YALI0_E23672g	0	0.0	0.0	0.0
YALI0_A17193g	17	0.455796	5.340810	5.473224
YALI0_F17116g	10	0.274914	3.221317	3.301183
YALI0_E12881g	24	1.573460	18.437090	18.894197
YALI0_A07711g	0	0.0	0.0	0.0
YALI0_B20218g	334	3.548199	41.576183	42.606976
YALI0_F08943g	243	9.183784	107.611412	110.279396
YALI0_F22715g	146	5.187817	60.788483	62.295601
YALI0_F13365g	31	1.881482	22.046350	22.592943
YALI0_B18414g	54	1.654893	19.391285	19.872049
YALI0_C02805g	34	1.652582	19.364206	19.844299
YALI0_E28204g	94	2.126418	24.916403	25.534147
YALI0_C10428g	66	2.433862	28.518888	29.225952
