geneId	readCount	Coverage	FPKM	TPM
YALI0_C18711g	460	127.161171	47.479633	51.726597
YALI0_D02981g	30	3.337768	1.246261	1.357737
YALI0_D25894g	1026	270.155334	100.871010	109.893730
YALI0_E32219g	162	28.664310	10.702724	11.660063
YALI0_F29205g	372	47.299580	17.660789	19.240515
YALI0_D08184g	12647	980.798584	366.212067	398.969055
YALI0_F09834g	4396	235.634720	87.981651	95.851448
ENSRNA049658018	0	0.0	0.0	0.0
YALI0_F01738g	766	44.235744	16.516809	17.994207
YALI0_D12925g	544	39.680214	14.815859	16.141109
YALI0_B10241g	2120	77.991104	29.120436	31.725206
YALI0_F01716g	836	49.873466	18.621830	20.287519
YALI0_D09042g	42	4.484127	1.674290	1.824052
YALI0_E02222g	687	76.446167	28.543585	31.096758
YALI0_C14674g	17	2.390970	0.892744	0.972598
YALI0_D02299g	314	17.505543	6.536246	7.120901
YALI0_C02673r	0	0.000000	0.000000	0.000000
YALI0_E29139g	620	59.009468	22.033045	24.003860
YALI0_B21362g	444	150.786041	56.300724	61.336720
YALI0_B06809g	987	132.760254	49.570229	54.004192
YALI0_B07733g	0	0.0	0.0	0.0
YALI0_D04048g	745	124.444077	46.465118	50.621338
YALI0_B11704g	1305	228.828110	85.440186	93.082657
YALI0_B13640g	6204	532.810608	198.941635	216.736588
YALI0_E34540g	1461	578.944885	216.167328	235.503098
YALI0_D17842g	306	31.363266	11.710464	12.757943
YALI0_D02475g	932	64.202286	23.971947	26.116192
YALI0_B03498g	110	9.387755	3.505214	3.818749
YALI0_D18612g	1949	121.551422	45.385056	49.444664
YALI0_F07645g	212	40.486694	15.116984	16.469170
ENSRNA049652426	0	0.000000	0.000000	0.000000
YALI0_A16401g	2	0.425819	0.158993	0.173215
YALI0_A17963g	2	1.056140	0.394343	0.429616
YALI0_E20779g	1509	683.984985	255.387360	278.231262
YALI0_F18172g	749	58.944706	22.008863	23.977516
YALI0_F29073g	780	102.391647	38.231148	41.650856
YALI0_D20856g	787	155.929123	58.221050	63.428818
YALI0_A10076g	2177	245.579224	91.694740	99.896667
YALI0_F25113g	14467	3072.427490	1147.187744	1249.801514
EFYLIG00000000039	0	0.0	0.0	0.0
ENSRNA049652311	0	0.000000	0.000000	0.000000
ENSRNA049670074	0	0.0	0.0	0.0
YALI0_F32043g	2084	56.233334	21.144361	23.035686
YALI0_B17952r	0	0.0	0.0	0.0
YALI0_F27357g	895	171.894409	64.182198	69.923180
