geneId	readCount	Coverage	FPKM	TPM
YALI0_C03487g	425	24.718649	5.928981	5.721003
YALI0_B02838g	1899	91.036049	21.835779	21.069822
YALI0_E03432g	11888	1253.932495	300.766510	290.216187
YALI0_B21406g	197	21.976704	5.271301	5.086394
YALI0_B07249g	730	74.754303	34.945023	33.719219
YALI0_A15345g	302	18.074448	4.335312	4.183237
YALI0_D10087g	738	59.430046	14.254808	13.754777
YALI0_B14971g	6384	199.990997	47.969563	46.286877
YALI0_D12947g	18	1.737745	0.416813	0.402192
YALI0_B02816g	2774	228.412384	54.786678	52.864861
YALI0_F06094g	3618	245.119781	58.794090	56.731701
YALI0_F06622g	183	24.766558	5.940472	5.732091
YALI0_F29381g	5955	447.045013	107.227592	103.466255
YALI0_E15510g	2488	424.848358	101.903534	98.328949
YALI0_C00297g	14	2.217557	0.531900	0.513242
YALI0_E05907g	1199	131.393860	31.515949	30.410427
YALI0_E11143g	1107	93.110435	22.333340	21.549927
YALI0_F23221g	11216	923.580383	221.528702	213.757889
YALI0_B08514g	1197	166.163330	39.855705	38.457642
YALI0_C04620g	16750	758.579407	181.951797	175.569275
YALI0_D01848r	0	0.0	0.0	0.0
YALI0_C04521g	699	164.482117	39.452454	38.068531
YALI0_A02134g	3012	91.796387	22.018154	21.245798
YALI0_B10978g	325	70.322914	16.867556	16.275873
YALI0_C22660g	456	33.291229	7.985188	7.705082
YALI0_B07007g	5715	1167.125854	279.945190	270.125244
YALI0_C03245g	952	65.175995	22.505495	21.716045
YALI0_E12837g	4	0.569343	0.136562	0.131771
YALI0_F15543g	10	0.746154	0.178971	0.172693
YALI0_B12892g	1222	45.672649	10.954978	10.570698
YALI0_F06380g	21	2.349506	0.563549	0.543781
ENSRNA049658415	0	0.0	0.0	0.0
YALI0_F28391g	289	20.901621	5.013434	4.837572
YALI0_C24189g	730	44.437626	10.658748	10.284858
YALI0_B11220g	154	20.178270	4.839932	4.670156
YALI0_E13376g	0	0.0	0.0	0.0
YALI0_D15906g	11	1.403077	0.336540	0.324735
